red_fighter_name,blue_fighter_name,winner,winner_encoded
Alexander Volkanovski,Jeremy Kennedy,Red,1
Jussier Formiga,Ben Nguyen,Red,1
Ross Pearson,Mizuto Hirota,Red,1
Teruto Ishihara,Jose Quinonez,Blue,0
Luke Jumeau,Daichi Abe,Red,1
Lyoto Machida,Eryk Anders,Red,1
Valentina Shevchenko,Priscila Cachoeira,Red,1
Michel Prazeres,Desmond Green,Red,1
Timothy Johnson,Marcelo Golm,Red,1
Douglas Silva de Andrade,Marlon Vera,Red,1
Thiago Santos,Anthony Smith,Red,1
Sergio Moraes,Tim Means,Red,1
Alan Patrick,Damir Hadzovic,Red,1
Maia Stevenson,Polyana Viana,Blue,0
Iuri Alcantara,Joe Soto,Red,1
Deiveson Figueiredo,Joseph Morales,Red,1
Jacare Souza,Derek Brunson,Red,1
Dennis Bermudez,Andre Fili,Blue,0
Jordan Rinaldi,Gregor Gillespie,Blue,0
Drew Dober,Frank Camacho,Red,1
Erik Koch,King Green,Blue,0
Mirsad Bektic,Godofredo Pepey,Red,1
Katlyn Cerminara,Mara Romero Borella,Red,1
Randa Markos,Juliana Lima,Red,1
Justine Kish,Ji Yeon Kim,Blue,0
Vinc Pichel,Joaquim Silva,Red,1
Niko Price,George Sullivan,Red,1
Austin Arnett,Cory Sandhagen,Blue,0
Stipe Miocic,Francis Ngannou,Red,1
Daniel Cormier,Volkan Oezdemir,Red,1
Calvin Kattar,Shane Burgos,Red,1
Gian Villante,Francimar Barroso,Red,1
Thomas Almeida,Rob Font,Blue,0
Kyle Bochniak,Brandon Davis,Red,1
Sabah Homasi,Abdul Razak Alhassan,Blue,0
Dustin Ortiz,Alexandre Pantoja,Red,1
Dan Ige,Julio Arce,Blue,0
Matt Bessette,Enrique Barzola,Blue,0
Islam Makhachev,Gleison Tibau,Red,1
Jeremy Stephens,Dooho Choi,Red,1
Paige VanZant,Jessica-Rose Clark,Blue,0
Kamaru Usman,Emil Meek,Red,1
Darren Elkins,Michael Johnson,Red,1
James Krause,Alex White,Red,1
Matt Frevola,Marco Polo Reyes,Blue,0
Talita Bernardo,Irene Aldana,Blue,0
Kyung Ho Kang,Guido Cannetti,Red,1
Kalindra Faria,Jessica Eye,Blue,0
Danielle Taylor,JJ Aldrich,Blue,0
Mads Burnell,Mike Santiago,Red,1
Cristiane Justino,Holly Holm,Red,1
Khabib Nurmagomedov,Edson Barboza,Red,1
Dan Hooker,Marc Diakiese,Red,1
Cynthia Calvillo,Carla Esparza,Blue,0
Carlos Condit,Neil Magny,Blue,0
Myles Jury,Ricky Glenn,Red,1
Louis Smolka,Matheus Nicolau,Blue,0
Tim Elliott,Mark De La Rosa,Red,1
Robbie Lawler,Rafael Dos Anjos,Blue,0
Ricardo Lamas,Josh Emmett,Blue,0
Santiago Ponzinibbio,Mike Perry,Red,1
Glover Teixeira,Misha Cirkunov,Red,1
Jared Cannonier,Jan Blachowicz,Blue,0
Julian Marquez,Darren Stewart,Red,1
Chad Laprise,Galore Bofando,Red,1
Nordine Taleb,Danny Roberts,Red,1
John Makdessi,Abel Trujillo,Red,1
Alessio Di Chirico,Oluwale Bamgbose,Red,1
Jordan Mein,Erick Silva,Red,1
Cub Swanson,Brian Ortega,Blue,0
Jason Knight,Gabriel Benitez,Blue,0
Marlon Moraes,Aljamain Sterling,Red,1
Scott Holtzman,Darrell Horcher,Red,1
Eryk Anders,Markus Perez,Red,1
Albert Morales,Benito Lopez,Blue,0
Alexis Davis,Liz Carmouche,Red,1
Luke Sanders,Andre Soukhamthath,Blue,0
Carls John De Tomas,Alex Perez,Blue,0
Frankie Saenz,Merab Dvalishvili,Red,1
Alejandro Perez,Iuri Alcantara,Red,1
Chris Gruetzemacher,Davi Ramos,Blue,0
Antonio Braga Neto,Trevin Giles,Blue,0
Max Holloway,Jose Aldo,Red,1
Alistair Overeem,Francis Ngannou,Blue,0
Henry Cejudo,Sergio Pettis,Red,1
Eddie Alvarez,Justin Gaethje,Red,1
Tecia Pennington,Michelle Waterson-Gomez,Red,1
Charles Oliveira,Paul Felder,Blue,0
Alex Oliveira,Yancy Medeiros,Blue,0
David Teymur,Drakkar Klose,Red,1
Felice Herrig,Cortney Casey,Red,1
Amanda Cooper,Angela Magana,Red,1
Sabah Homasi,Abdul Razak Alhassan,Blue,0
Jeremy Kimball,Dominick Reyes,Blue,0
Justin Willis,Allen Crowder,Red,1
Nicco Montano,Roxanne Modafferi,Red,1
Sean O'Malley,Terrion Ware,Red,1
Barb Honchak,Lauren Murphy,Blue,0
Eric Spicely,Gerald Meerschaert,Blue,0
Joe Soto,Brett Johns,Blue,0
Christina Marks,Montana De La Rosa,Blue,0
Andrew Sanchez,Ryan Janes,Blue,0
Karine Gevorgyan,Rachael Ostovich,Blue,0
Ariel Beck,Shana Dobson,Blue,0
Gillian Robertson,Emily Whitmire,Red,1
Michael Bisping,Kelvin Gastelum,Blue,0
Li Jingliang,Zak Ottow,Red,1
Wang Guan,Alex Caceres,Red,1
Muslim Salikhov,Alex Garcia,Blue,0
Zabit Magomedsharipov,Sheymon Moraes,Red,1
Song Kenan,Bobby Nash,Red,1
Kailin Curran,Yan Xiaonan,Blue,0
Song Yadong,Bharat Kandare,Red,1
Chase Sherman,Shamil Abdurakhimov,Blue,0
Wu Yanan,Gina Mazany,Blue,0
Wulijiburen,Rolando Dy,Blue,0
Cyril Asker,Hu Yaozong,Red,1
Fabricio Werdum,Marcin Tybura,Red,1
Bec Rawlings,Jessica-Rose Clark,Blue,0
Tim Means,Belal Muhammad,Blue,0
Jake Matthews,Bojan Velickovic,Red,1
Elias Theodorou,Daniel Kelly,Red,1
Alexander Volkanovski,Shane Young,Red,1
Ryan Benoit,Ashkan Mokhtarian,Red,1
Nik Lentz,Will Brooks,Red,1
Rashad Coulter,Tai Tuivasa,Blue,0
Damien Brown,Frank Camacho,Blue,0
Alex Chambers,Nadia Kassem,Blue,0
Jenel Lausa,Eric Shelton,Blue,0
Anthony Hamilton,Adam Wieczorek,Blue,0
Dustin Poirier,Anthony Pettis,Red,1
Matt Brown,Diego Sanchez,Red,1
Junior Albini,Andrei Arlovski,Blue,0
Nate Marquardt,Cezar Ferreira,Blue,0
Raphael Assuncao,Matthew Lopez,Red,1
Joe Lauzon,Clay Guida,Blue,0
John Dodson,Marlon Moraes,Blue,0
Tatiana Suarez,Viviane Pereira,Red,1
Sage Northcutt,Michel Quinones,Red,1
Angela Hill,Nina Nunes,Blue,0
Court McGee,Sean Strickland,Blue,0
Jake Collier,Marcel Fortuna,Red,1
Darren Stewart,Karl Roberson,Blue,0
Michael Bisping,Georges St-Pierre,Blue,0
Cody Garbrandt,TJ Dillashaw,Blue,0
Joanna Jedrzejczyk,Rose Namajunas,Blue,0
Stephen Thompson,Jorge Masvidal,Red,1
Johny Hendricks,Paulo Costa,Blue,0
James Vick,Joe Duffy,Red,1
Walt Harris,Mark Godbeer,Blue,0
Ovince Saint Preux,Corey Anderson,Red,1
Randy Brown,Mickey Gall,Red,1
Aleksei Oleinik,Curtis Blaydes,Blue,0
Aiemann Zahabi,Ricardo Ramos,Blue,0
Derek Brunson,Lyoto Machida,Red,1
Demian Maia,Colby Covington,Blue,0
Pedro Munhoz,Rob Font,Red,1
Francisco Trinaldo,Jim Miller,Red,1
Thiago Santos,Jack Hermansson,Red,1
John Lineker,Marlon Vera,Red,1
Vicente Luque,Niko Price,Red,1
Antonio Carlos Junior,Jack Marshman,Red,1
Hacran Dias,Jared Gordon,Blue,0
Elizeu Zaleski dos Santos,Max Griffin,Red,1
Deiveson Figueiredo,Jarred Brooks,Red,1
Marcelo Golm,Christian Colombo,Red,1
Donald Cerrone,Darren Till,Blue,0
Karolina Kowalkiewicz,Jodie Esquibel,Red,1
Jan Blachowicz,Devin Clark,Red,1
Oskar Piechota,Jonathan Wilson,Red,1
Marcin Held,Nasrat Haqparast,Red,1
Damian Stasiak,Brian Kelleher,Blue,0
Sam Alvey,Ramazan Emeev,Blue,0
Artem Lobov,Andre Fili,Blue,0
Salim Touahri,Warlley Alves,Blue,0
Lina Lansberg,Aspen Ladd,Blue,0
Felipe Arantes,Josh Emmett,Blue,0
Tony Ferguson,Kevin Lee,Red,1
Demetrious Johnson,Ray Borg,Red,1
Fabricio Werdum,Walt Harris,Red,1
Mara Romero Borella,Kalindra Faria,Red,1
Tom Duquesnoy,Cody Stamann,Blue,0
Pearl Gonzalez,Poliana Botelho,Blue,0
Matt Schnell,Marco Beltran,Red,1
John Moraga,Bibulatov Magomed,Red,1
Thales Leites,Brad Tavares,Blue,0
Ovince Saint Preux,Yushin Okami,Red,1
Claudia Gadelha,Jessica Andrade,Blue,0
Takanori Gomi,Dong Hyun Ma,Blue,0
Gokhan Saki,Henrique da Silva,Red,1
Teruto Ishihara,Rolando Dy,Red,1
Jussier Formiga,Yuta Sasaki,Red,1
Keita Nakamura,Alex Morono,Red,1
Syuri Kondo,Chan-Mi Jeon,Red,1
Shinsho Anzai,Luke Jumeau,Red,1
Daichi Abe,Hyun Gyu Lim,Red,1
Luke Rockhold,David Branch,Red,1
Mike Perry,Alex Reyes,Red,1
Hector Lombard,Anthony Smith,Blue,0
Gregor Gillespie,Jason Gonzalez,Red,1
Kamaru Usman,Sergio Moraes,Red,1
Justin Ledet,Azunna Anyanwu,Red,1
Anthony Rocco Martin,Olivier Aubin-Mercier,Blue,0
Anthony Hamilton,Daniel Spitz,Blue,0
Krzysztof Jotko,Uriah Hall,Blue,0
Jason Saggo,Gilbert Burns,Blue,0
Amanda Nunes,Valentina Shevchenko,Red,1
Neil Magny,Rafael Dos Anjos,Blue,0
Henry Cejudo,Wilson Reis,Red,1
Ilir Latifi,Tyson Pedro,Red,1
Jeremy Stephens,Gilbert Melendez,Red,1
Sara McMann,Ketlen Vieira,Blue,0
Sarah Moras,Ashlee Evans-Smith,Red,1
Gavin Tucker,Ricky Glenn,Blue,0
Mitch Clarke,Alex White,Blue,0
Luis Henrique,Arjan Bhullar,Blue,0
Kajan Johnson,Adriano Martins,Red,1
Alexander Volkov,Stefan Struve,Red,1
Siyar Bahadurzada,Rob Wilkinson,Red,1
Marion Reneau,Talita Bernardo,Red,1
Leon Edwards,Bryan Barberena,Red,1
Darren Till,Bojan Velickovic,Red,1
Mairbek Taisumov,Felipe Silva,Red,1
Michel Prazeres,Mads Burnell,Red,1
Rustam Khabilov,Desmond Green,Red,1
Francimar Barroso,Aleksandar Rakic,Blue,0
Mike Santiago,Zabit Magomedsharipov,Blue,0
Bojan Mihajlovic,Abdul-Kerim Edilov,Blue,0
Thibault Gouti,Andrew Holbrook,Red,1
Sergio Pettis,Brandon Moreno,Red,1
Randa Markos,Alexa Grasso,Blue,0
Alan Jouban,Niko Price,Blue,0
Martin Bravo,Humberto Bandenay,Blue,0
Sam Alvey,Rashad Evans,Red,1
Alejandro Perez,Andre Soukhamthath,Red,1
Brad Scott,Jack Hermansson,Blue,0
Dustin Ortiz,Hector Sandoval,Red,1
Henry Briones,Rani Yahya,Blue,0
Jose Quinonez,Diego Rivas,Red,1
Joseph Morales,Robert Sanchez,Red,1
Alvaro Herrera Mendoza,Jordan Rinaldi,Blue,0
Tyron Woodley,Demian Maia,Red,1
Cristiane Justino,Tonya Evinger,Red,1
Robbie Lawler,Donald Cerrone,Red,1
Jimi Manuwa,Volkan Oezdemir,Blue,0
Ricardo Lamas,Jason Knight,Red,1
Aljamain Sterling,Renan Barao,Red,1
Brian Ortega,Renato Moicano,Red,1
Andre Fili,Calvin Kattar,Blue,0
Kailin Curran,Aleksandra Albu,Blue,0
Eric Shelton,Jarred Brooks,Blue,0
Joshua Burkman,Drew Dober,Blue,0
Chris Weidman,Kelvin Gastelum,Red,1
Dennis Bermudez,Darren Elkins,Blue,0
Patrick Cummins,Gian Villante,Red,1
Jimmie Rivera,Thomas Almeida,Red,1
Lyman Good,Elizeu Zaleski dos Santos,Blue,0
Rafael Natal,Eryk Anders,Blue,0
Ryan LaFlare,Alex Oliveira,Blue,0
Damian Grabowski,Chase Sherman,Blue,0
Kyle Bochniak,Jeremy Kennedy,Blue,0
Brian Kelleher,Marlon Vera,Blue,0
Timothy Johnson,Junior Albini,Blue,0
Shane Burgos,Godofredo Pepey,Red,1
Frankie Perez,Chris Wade,Blue,0
Gunnar Nelson,Santiago Ponzinibbio,Blue,0
Joanne Wood,Cynthia Calvillo,Blue,0
Stevie Ray,Paul Felder,Blue,0
Jack Marshman,Ryan Janes,Red,1
Khalil Rountree Jr.,Paul Craig,Red,1
James Mulheron,Justin Willis,Blue,0
Danny Roberts,Bobby Nash,Red,1
Alexandre Pantoja,Neil Seery,Red,1
Charlie Ward,Galore Bofando,Blue,0
Danny Henry,Daniel Teymur,Red,1
Brett Johns,Albert Morales,Red,1
Leslie Smith,Amanda Lemos,Red,1
Yoel Romero,Robert Whittaker,Blue,0
Fabricio Werdum,Alistair Overeem,Blue,0
Daniel Omielanczuk,Curtis Blaydes,Blue,0
Anthony Pettis,Jim Miller,Red,1
Rob Font,Douglas Silva de Andrade,Red,1
Travis Browne,Aleksei Oleinik,Blue,0
Chad Laprise,Brian Camozzi,Red,1
Thiago Santos,Gerald Meerschaert,Red,1
Jordan Mein,Belal Muhammad,Blue,0
Cody Stamann,Terrion Ware,Red,1
Trevin Giles,James Bochnovic,Red,1
Michael Johnson,Justin Gaethje,Blue,0
Dhiego Lima,Jesse Taylor,Blue,0
Marc Diakiese,Drakkar Klose,Blue,0
Jared Cannonier,Nick Roehrick,Red,1
Brad Tavares,Elias Theodorou,Red,1
Jordan Johnson,Marcel Fortuna,Red,1
Angela Hill,Ashley Yoder,Red,1
James Krause,Tom Gallicchio,Red,1
Ed Herman,CB Dollaway,Blue,0
Tecia Pennington,Juliana Lima,Red,1
Gray Maynard,Teruto Ishihara,Red,1
Michael Chiesa,Kevin Lee,Blue,0
Tim Boetsch,Johny Hendricks,Red,1
Felice Herrig,Justine Kish,Red,1
Joachim Christensen,Dominick Reyes,Blue,0
Tim Means,Alex Garcia,Red,1
BJ Penn,Dennis Siver,Blue,0
Clay Guida,Erik Koch,Red,1
Vitor Miranda,Marvin Vettori,Blue,0
Carla Esparza,Maryna Moroz,Red,1
Devin Powell,Darrell Horcher,Blue,0
Jared Gordon,Michel Quinones,Red,1
Anthony Rocco Martin,Johnny Case,Red,1
Josh Stansbury,Jeremy Kimball,Blue,0
Holly Holm,Bethe Correia,Red,1
Andrei Arlovski,Marcin Tybura,Blue,0
Dong Hyun Kim,Colby Covington,Blue,0
Tarec Saffiedine,Rafael Dos Anjos,Blue,0
Takanori Gomi,Jon Tuck,Blue,0
Cyril Asker,Walt Harris,Blue,0
Alex Caceres,Rolando Dy,Red,1
Justin Scoggins,Yuta Sasaki,Blue,0
Li Jingliang,Frank Camacho,Red,1
Kwan Ho Kwak,Russell Doane,Blue,0
Naoki Inoue,Carls John De Tomas,Red,1
Ji Yeon Kim,Lucie Pudilova,Blue,0
Derrick Lewis,Mark Hunt,Blue,0
Derek Brunson,Daniel Kelly,Red,1
Dan Hooker,Ross Pearson,Red,1
Ion Cutelaba,Henrique da Silva,Red,1
Tim Elliott,Ben Nguyen,Blue,0
Alexander Volkanovski,Mizuto Hirota,Red,1
Damien Brown,Vinc Pichel,Blue,0
Luke Jumeau,Dominique Steele,Red,1
John Moraga,Ashkan Mokhtarian,Red,1
Kiichi Kunimoto,Zak Ottow,Blue,0
JJ Aldrich,Chan-Mi Jeon,Red,1
Jose Aldo,Max Holloway,Blue,0
Claudia Gadelha,Karolina Kowalkiewicz,Red,1
Vitor Belfort,Nate Marquardt,Red,1
Paulo Costa,Oluwale Bamgbose,Red,1
Erick Silva,Yancy Medeiros,Blue,0
Raphael Assuncao,Marlon Moraes,Red,1
Antonio Carlos Junior,Eric Spicely,Red,1
Johnny Eduardo,Matthew Lopez,Blue,0
Iuri Alcantara,Brian Kelleher,Blue,0
Viviane Pereira,Jamie Moyle,Red,1
Luan Chagas,Jim Wallhead,Red,1
Marco Beltran,Deiveson Figueiredo,Blue,0
Alexander Gustafsson,Glover Teixeira,Red,1
Volkan Oezdemir,Misha Cirkunov,Red,1
Peter Sobotta,Ben Saunders,Red,1
Abdul Razak Alhassan,Omari Akhmedov,Blue,0
Oliver Enkamp,Nordine Taleb,Blue,0
Jack Hermansson,Alex Nicholson,Red,1
Pedro Munhoz,Damian Stasiak,Red,1
Trevor Smith,Chris Camozzi,Red,1
Reza Madadi,Joaquim Silva,Blue,0
Nicholas Musoke,Bojan Velickovic,Blue,0
Darren Till,Jessin Ayari,Red,1
Marcin Held,Damir Hadzovic,Blue,0
Stipe Miocic,Junior Dos Santos,Red,1
Joanna Jedrzejczyk,Jessica Andrade,Red,1
Demian Maia,Jorge Masvidal,Red,1
Frankie Edgar,Yair Rodriguez,Red,1
Krzysztof Jotko,David Branch,Blue,0
Chas Skelly,Jason Knight,Blue,0
Chase Sherman,Rashad Coulter,Red,1
James Vick,Marco Polo Reyes,Red,1
Jessica Aguilar,Cortney Casey,Blue,0
Gabriel Benitez,Enrique Barzola,Blue,0
Joachim Christensen,Gadzhimurad Antigulov,Blue,0
Cub Swanson,Artem Lobov,Red,1
Al Iaquinta,Diego Sanchez,Red,1
Ovince Saint Preux,Marcos Rogerio de Lima,Red,1
John Dodson,Eddie Wineland,Red,1
Joe Lauzon,Stevie Ray,Blue,0
Jake Ellenberger,Mike Perry,Blue,0
Thales Leites,Sam Alvey,Red,1
Dustin Ortiz,Brandon Moreno,Blue,0
Scott Holtzman,Michael McBride,Red,1
Jessica Penne,Danielle Taylor,Blue,0
Alexis Davis,Cindy Dandois,Red,1
Bryan Barberena,Joe Proctor,Red,1
Hector Sandoval,Matt Schnell,Red,1
Demetrious Johnson,Wilson Reis,Red,1
Rose Namajunas,Michelle Waterson-Gomez,Red,1
Jacare Souza,Robert Whittaker,Blue,0
Jeremy Stephens,Renato Moicano,Blue,0
Alexander Volkov,Roy Nelson,Red,1
Patrick Williams,Tom Duquesnoy,Blue,0
King Green,Rashid Magomedov,Blue,0
Louis Smolka,Tim Elliott,Blue,0
Aljamain Sterling,Augusto Mendes,Red,1
Devin Clark,Jake Collier,Red,1
Anthony Smith,Andrew Sanchez,Red,1
Zak Cummings,Nathan Coy,Red,1
Ashlee Evans-Smith,Ketlen Vieira,Blue,0
Daniel Cormier,Anthony Johnson,Red,1
Chris Weidman,Gegard Mousasi,Blue,0
Cynthia Calvillo,Pearl Gonzalez,Red,1
Thiago Alves,Patrick Cote,Red,1
Will Brooks,Charles Oliveira,Blue,0
Myles Jury,Mike de la Torre,Red,1
Kamaru Usman,Sean Strickland,Red,1
Shane Burgos,Charles Rosa,Red,1
Patrick Cummins,Jan Blachowicz,Red,1
Gregor Gillespie,Andrew Holbrook,Red,1
Josh Emmett,Desmond Green,Blue,0
Katlyn Cerminara,Irene Aldana,Red,1
Jenel Lausa,Bibulatov Magomed,Blue,0
Jimi Manuwa,Corey Anderson,Red,1
Gunnar Nelson,Alan Jouban,Red,1
Brad Pickett,Marlon Vera,Blue,0
Arnold Allen,Makwan Amirkhani,Red,1
Joe Duffy,Reza Madadi,Red,1
Darren Stewart,Francimar Barroso,Blue,0
Daniel Omielanczuk,Timothy Johnson,Blue,0
Leon Edwards,Vicente Luque,Red,1
Marc Diakiese,Teemu Packalen,Red,1
Brad Scott,Scott Askham,Red,1
Lina Lansberg,Lucie Pudilova,Red,1
Mauricio Rua,Gian Villante,Red,1
Edson Barboza,Beneil Dariush,Red,1
Jussier Formiga,Ray Borg,Blue,0
Alex Oliveira,Tim Means,Red,1
Francisco Trinaldo,Kevin Lee,Blue,0
Sergio Moraes,Davi Ramos,Red,1
Rani Yahya,Joe Soto,Blue,0
Michel Prazeres,Joshua Burkman,Red,1
Rony Jason,Jeremy Kennedy,Blue,0
Garreth McLellan,Paulo Costa,Blue,0
Tyron Woodley,Stephen Thompson,Red,1
Lando Vannata,David Teymur,Blue,0
Rashad Evans,Daniel Kelly,Blue,0
Amanda Cooper,Cynthia Calvillo,Blue,0
Alistair Overeem,Mark Hunt,Red,1
Marcin Tybura,Luis Henrique,Red,1
Mirsad Bektic,Darren Elkins,Blue,0
Iuri Alcantara,Luke Sanders,Red,1
Mark Godbeer,Daniel Spitz,Red,1
Tyson Pedro,Paul Craig,Red,1
Albert Morales,Andre Soukhamthath,Red,1
Derrick Lewis,Travis Browne,Red,1
Johny Hendricks,Hector Lombard,Red,1
Sam Sicilia,Gavin Tucker,Blue,0
Elias Theodorou,Cezar Ferreira,Red,1
Sara McMann,Gina Mazany,Red,1
Paul Felder,Alex Ricci,Red,1
Nordine Taleb,Santiago Ponzinibbio,Blue,0
Carla Esparza,Randa Markos,Blue,0
Aiemann Zahabi,Reginaldo Vieira,Red,1
Jack Marshman,Thiago Santos,Blue,0
Gerald Meerschaert,Ryan Janes,Red,1
Holly Holm,Germaine de Randamie,Blue,0
Anderson Silva,Derek Brunson,Red,1
Jacare Souza,Tim Boetsch,Red,1
Glover Teixeira,Jared Cannonier,Red,1
Dustin Poirier,Jim Miller,Red,1
Randy Brown,Belal Muhammad,Blue,0
Wilson Reis,Yuta Sasaki,Red,1
Nik Lentz,Islam Makhachev,Blue,0
Ricky Glenn,Phillipe Nover,Red,1
Ryan LaFlare,Roan Carneiro,Red,1
Dennis Bermudez,Chan Sung Jung,Blue,0
Alexa Grasso,Felice Herrig,Blue,0
Abel Trujillo,James Vick,Blue,0
Ovince Saint Preux,Volkan Oezdemir,Blue,0
Anthony Hamilton,Marcel Fortuna,Blue,0
Jessica Andrade,Angela Hill,Red,1
Chas Skelly,Chris Gruetzemacher,Red,1
Ricardo Ramos,Michinori Tanaka,Red,1
Tecia Pennington,Bec Rawlings,Red,1
Daniel Jolly,Khalil Rountree Jr.,Blue,0
Valentina Shevchenko,Julianna Pena,Red,1
Donald Cerrone,Jorge Masvidal,Blue,0
Andrei Arlovski,Francis Ngannou,Blue,0
Alex Caceres,Jason Knight,Blue,0
Nate Marquardt,Sam Alvey,Blue,0
Raphael Assuncao,Aljamain Sterling,Red,1
Bobby Nash,Li Jingliang,Blue,0
Henrique da Silva,Jordan Johnson,Blue,0
Eric Spicely,Alessio Di Chirico,Red,1
Marcos Rogerio de Lima,Jeremy Kimball,Red,1
Alexandre Pantoja,Eric Shelton,Red,1
Jason Gonzalez,JC Cottrell,Red,1
Yair Rodriguez,BJ Penn,Red,1
Joe Lauzon,Marcin Held,Red,1
Court McGee,Ben Saunders,Blue,0
John Moraga,Sergio Pettis,Blue,0
Devin Powell,Drakkar Klose,Blue,0
Frankie Saenz,Augusto Mendes,Blue,0
Aleksei Oleinik,Viktor Pesta,Red,1
Anthony Rocco Martin,Alex White,Red,1
Jocelyn Jones-Lybarger,Nina Nunes,Blue,0
Walt Harris,Chase Sherman,Red,1
Bojan Mihajlovic,Joachim Christensen,Blue,0
Dmitrii Smoliakov,Cyril Asker,Blue,0
Amanda Nunes,Ronda Rousey,Red,1
Dominick Cruz,Cody Garbrandt,Blue,0
TJ Dillashaw,John Lineker,Red,1
Dong Hyun Kim,Tarec Saffiedine,Red,1
Louis Smolka,Ray Borg,Blue,0
Johny Hendricks,Neil Magny,Blue,0
Antonio Carlos Junior,Marvin Vettori,Red,1
Mike Pyle,Alex Garcia,Blue,0
Brandon Thatch,Niko Price,Blue,0
Paige VanZant,Michelle Waterson-Gomez,Blue,0
Sage Northcutt,Mickey Gall,Blue,0
Urijah Faber,Brad Pickett,Red,1
Alan Jouban,Mike Perry,Red,1
Henrique da Silva,Paul Craig,Blue,0
Cole Miller,Mizuto Hirota,Blue,0
Bryan Barberena,Colby Covington,Blue,0
James Moontasri,Alex Morono,Blue,0
Josh Emmett,Scott Holtzman,Red,1
Leslie Smith,Irene Aldana,Red,1
Eddie Wineland,Takeya Mizugaki,Red,1
Hector Sandoval,Fredy Serrano,Red,1
Bojan Velickovic,Sultan Aliev,Blue,0
Max Holloway,Anthony Pettis,Red,1
Donald Cerrone,Matt Brown,Red,1
Cub Swanson,Dooho Choi,Red,1
Tim Kennedy,Kelvin Gastelum,Blue,0
Jordan Mein,Emil Meek,Blue,0
Nikita Krylov,Misha Cirkunov,Blue,0
Olivier Aubin-Mercier,Drew Dober,Red,1
Valerie Letourneau,Viviane Pereira,Blue,0
Mitch Gagnon,Matthew Lopez,Blue,0
John Makdessi,Lando Vannata,Blue,0
Jason Saggo,Rustam Khabilov,Blue,0
Zach Makovsky,Dustin Ortiz,Blue,0
Derrick Lewis,Shamil Abdurakhimov,Red,1
Francis Ngannou,Anthony Hamilton,Red,1
Corey Anderson,Sean O'Connell,Red,1
Gian Villante,Saparbeg Safarov,Red,1
Justine Kish,Ashley Yoder,Red,1
Randy Brown,Brian Camozzi,Red,1
Joseph Gigliotti,Gerald Meerschaert,Blue,0
Andrew Sanchez,Trevor Smith,Red,1
Tiago dos Santos e Silva,Shane Burgos,Blue,0
Frankie Perez,Marc Diakiese,Blue,0
Keith Berish,Ryan Janes,Blue,0
Juliana Lima,JJ Aldrich,Red,1
Demetrious Johnson,Tim Elliott,Red,1
Joseph Benavidez,Henry Cejudo,Red,1
Jake Ellenberger,Jorge Masvidal,Blue,0
Ion Cutelaba,Jared Cannonier,Blue,0
Sara McMann,Alexis Davis,Red,1
Brandon Moreno,Ryan Benoit,Red,1
Gray Maynard,Ryan Hall,Blue,0
Rob Font,Matt Schnell,Red,1
Dong Hyun Ma,Brendan O'Reilly,Red,1
Kailin Curran,Jamie Moyle,Blue,0
Elvis Mutapcic,Anthony Smith,Blue,0
Josh Stansbury,Devin Clark,Blue,0
Robert Whittaker,Derek Brunson,Red,1
Jake Matthews,Andrew Holbrook,Blue,0
Kyle Noke,Omari Akhmedov,Blue,0
Yusuke Kasuya,Alexander Volkanovski,Blue,0
Khalil Rountree Jr.,Tyson Pedro,Blue,0
Seo Hee Ham,Danielle Taylor,Blue,0
Daniel Kelly,Chris Camozzi,Red,1
Damien Brown,Jon Tuck,Red,1
Richard Walsh,Jonathan Meunier,Blue,0
Ben Nguyen,Geane Herrera,Red,1
Dan Hooker,Jason Knight,Blue,0
Marlon Vera,Guangyou Ning,Red,1
Yao Zhikui,Jenel Lausa,Blue,0
Ryan Bader,Rogerio Nogueira,Red,1
Thomas Almeida,Albert Morales,Red,1
Claudia Gadelha,Cortney Casey,Red,1
Thales Leites,Krzysztof Jotko,Blue,0
Warlley Alves,Kamaru Usman,Blue,0
Sergio Moraes,Zak Ottow,Red,1
Cezar Ferreira,Jack Hermansson,Red,1
Marcos Rogerio de Lima,Gadzhimurad Antigulov,Blue,0
Johnny Eduardo,Manvel Gamburyan,Red,1
Luis Henrique,Christian Colombo,Red,1
Pedro Munhoz,Justin Scoggins,Red,1
Gegard Mousasi,Uriah Hall,Red,1
Ross Pearson,Stevie Ray,Blue,0
Timothy Johnson,Alexander Volkov,Blue,0
Artem Lobov,Teruto Ishihara,Red,1
Magnus Cedenblad,Jack Marshman,Blue,0
Kyoji Horiguchi,Ali Bagautinov,Red,1
Kevin Lee,Magomed Mustafaev,Red,1
Anna Elmose,Amanda Cooper,Blue,0
Justin Ledet,Mark Godbeer,Red,1
Zak Cummings,Alexander Yakovlev,Red,1
Marion Reneau,Milana Dudieva,Red,1
Brett Johns,Kwan Ho Kwak,Red,1
Charlie Ward,Abdul Razak Alhassan,Blue,0
Eddie Alvarez,Conor McGregor,Blue,0
Joanna Jedrzejczyk,Karolina Kowalkiewicz,Red,1
Chris Weidman,Yoel Romero,Blue,0
Miesha Tate,Raquel Pennington,Blue,0
Frankie Edgar,Jeremy Stephens,Red,1
Khabib Nurmagomedov,Michael Johnson,Red,1
Rafael Natal,Tim Boetsch,Blue,0
Vicente Luque,Belal Muhammad,Red,1
Jim Miller,Thiago Alves,Red,1
