red_fighter_name,blue_fighter_name,winner,winner_encoded
Thiago Moises,Trey Ogden,Red,1
Preston Parsons,Jacobe Smith,Blue,0
Ernesta Kareckaite,Nicolle Caliari,Red,1
Magomed Gadzhiyasulov,Bruno Lopes,Blue,0
Fatima Kline,Viktoriia Dudakova,Red,1
Nurullo Aliev,Joe Solecki,Red,1
Colby Covington,Joaquin Buckley,Blue,0
Cub Swanson,Billy Quarantillo,Red,1
Manel Kape,Bruno Silva,Red,1
Vitor Petrino,Dustin Jacoby,Blue,0
Adrian Yanez,Daniel Marcos,Blue,0
Navajo Stirling,Tuco Tokkos,Red,1
Michael Johnson,Ottman Azaitar,Red,1
Joel Alvarez,Drakkar Klose,Red,1
Sean Woodson,Fernando Padilla,Red,1
Miles Johns,Felipe Lima,Blue,0
Miranda Maverick,Jamey-Lyn Horth,Red,1
Davey Grant,Ramon Taveras,Red,1
Josefine Knutsson,Piera Rodriguez,Blue,0
Alexandre Pantoja,Kai Asakura,Red,1
Shavkat Rakhmonov,Ian Machado Garry,Red,1
Ciryl Gane,Alexander Volkov,Red,1
Bryce Mitchell,Kron Gracie,Red,1
Nate Landwehr,Dooho Choi,Blue,0
Dominick Reyes,Anthony Smith,Red,1
Vicente Luque,Themba Gorimbo,Red,1
Movsar Evloev,Aljamain Sterling,Red,1
Randy Brown,Bryan Battle,Blue,0
Chris Weidman,Eryk Anders,Blue,0
Cody Durden,Joshua Van,Blue,0
Michael Chiesa,Max Griffin,Red,1
Clay Guida,Chase Hooper,Blue,0
Kennedy Nzechukwu,Lukasz Brzeski,Red,1
Petr Yan,Deiveson Figueiredo,Red,1
Yan Xiaonan,Tabatha Ricci,Red,1
Song Kenan,Muslim Salikhov,Blue,0
Wang Cong,Gabriella Fernandes,Blue,0
Volkan Oezdemir,Carlos Ulberg,Blue,0
Zhang Mingyang,Ozzy Diaz,Red,1
Baergeng Jieleyisi,SuYoung You,Blue,0
Kiru Sahota,DongHun Choi,Blue,0
Shi Ming,Feng Xiaocan,Red,1
Nyamjargal Tumendemberel,Carlos Hernandez,Blue,0
